name0,name1,mean,error,start_frame,end_frame
1a,5d,-2.79,0.42,37,125
1b,1a,1.04,0.37,37,125
1b,5c,-1.24,0.41,37,125
1b,5d,-0.77,0.40,37,125
1b,5h,-2.15,0.41,37,125
1b,5n,-3.01,0.42,37,125
3a,3b,-0.12,0.37,37,125
3a,5m,0.62,0.41,37,125
3a,7,1.28,0.38,37,125
5a,5c,0.39,0.40,37,125
5a,5d,0.30,0.40,37,125
5a,5j,-0.49,0.40,37,125
5a,5k,0.07,0.40,37,125
5a,5n,1.33,0.43,37,125
5b,5c,0.20,0.40,37,125
5b,5j,-0.46,0.38,37,125
5b,5n,0.93,0.43,37,125
5b,5o,-0.07,0.43,37,125
5d,5m,-0.03,0.41,37,125
5e,5a,-1.36,0.41,37,125
5e,5h,-1.33,0.42,37,125
5e,5i,-3.46,0.43,37,125
5e,5k,-1.80,0.39,37,125
5e,5n,-0.38,0.42,37,125
5e,5p,-1.35,0.43,37,125
5f,5a,-0.37,0.40,37,125
5f,5i,-1.15,0.41,37,125
5f,5l,-0.40,0.39,37,125
5g,5a,1.40,0.41,37,125
5g,5b,0.17,0.40,37,125
5g,5d,2.09,0.40,37,125
5g,5h,1.45,0.40,37,125
5h,5m,-1.76,0.40,37,125
5i,5a,0.29,0.41,37,125
5i,5m,0.48,0.40,37,126
5i,5o,1.51,0.43,37,125
5k,5d,-0.23,0.40,37,125
5l,5e,2.96,0.41,37,125
5l,5j,0.73,0.40,37,125
5l,5p,2.02,0.43,37,125
5o,5m,0.18,0.42,37,125
5p,5n,-1.27,0.41,37,126
7,3b,0.58,0.38,37,125
7,5d,0.55,0.37,37,125
7,5j,-0.99,0.38,37,125
7,8a,2.96,0.46,37,125
8a,5d,-1.80,0.46,37,125
8b,8a,1.50,0.41,37,125
8b,8d,0.23,0.44,37,125
8b,8f,0.25,0.43,37,125
8c,5k,-1.14,0.45,37,125
8d,1a,1.38,0.46,37,125
8d,8c,0.82,0.40,37,125
8d,8f,1.07,0.45,37,125
8e,5k,-2.04,0.47,37,125
8e,8a,0.04,0.40,37,125
8e,8b,-2.20,0.42,37,125
8e,8c,-0.13,0.43,37,125
8f,5m,-2.14,0.46,37,125
8f,8a,0.47,0.42,37,125
