lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
13,14,-0.044706,0.496561,2.935336,2.887437,2.987374,2.980042,0.00000000195671,0,0.062031,R-group large
16,14,3.048674,0.412604,0.948976,0.946878,0.95108,2.099698,0.00000036016,0,0,R-group
16,15,2.65525,0.41048,1.596819,1.593885,1.599756,1.058431,0.00992245,0,0,R-group
16,19,-1.891219,0.416212,-1.442082,-1.463964,-1.420856,0.449137,0.280541,0,0,R-group
16,20,0.50649,0.972478,-1.403747,-1.42435,-1.383719,1.910237,0.0494955,0,0.493969,R-group large
17,16,1.124421,0.413162,-0.296401,-0.29921,-0.293595,1.420822,0.000584088,0,0,R-group
17,25,-0.857806,0.498119,-0.798532,-0.803674,-0.793416,0.059274,0.905279,0,0.055435,R-group
17,45,-5.452155,0.428118,-2.191194,-2.236274,-2.149151,3.260961,2.59706E-14,0,0,R-group
18,13,-1.978446,0.424233,-0.30343,-0.384097,-0.225417,1.675016,0.0000786954,0,0,R-group large
18,15,4.238393,0.412465,3.279748,3.249577,3.311403,0.958645,0.0201155,0,0,R-group
18,45,-2.10524,0.409797,-0.211865,-0.284866,-0.140415,1.893375,0.00000383231,0,0,R-group
19,25,1.953944,0.443864,0.939951,0.916391,0.964143,1.013993,0.0223441,0,0,R-group
19,32,0.064108,0.39217,1.183504,1.16132,1.206335,1.119396,0.00431232,0,0,R-group
20,35,-2.417628,0.8411,-0.823459,-0.921055,-0.734637,1.594169,0.0580476,0,0.369509,R-group large
21,20,0.380641,0.554016,-0.940967,-0.963622,-0.918869,1.321608,0.0170557,0,0.080184,R-group large
21,26,2.204081,0.402909,-0.459275,-0.471378,-0.447262,2.663356,3.83501E-11,0,0,R-group
21,29,-0.432896,0.427773,0.496731,0.491283,0.502199,0.929627,0.0297668,0,0,R-group
21,41,-2.772483,1.635435,-1.52358,-1.57906,-1.472215,1.248903,0.445075,1.310898,0,R-group
22,21,0.993233,0.390727,0.529238,0.516208,0.542388,0.463995,0.235024,0,0,R-group
22,26,2.703199,0.402176,0.069963,0.052446,0.087511,2.633236,5.85194E-11,0,0,R-group
22,32,2.802279,0.414339,0.733438,0.721523,0.745487,2.068841,0.000000594143,0,0,R-group
23,14,2.341213,1.177587,0.674178,0.672725,0.675633,1.667035,0.156882,0,0.724418,R-group large
23,34,-1.409425,0.404253,-2.169592,-2.214711,-2.127509,0.760167,0.0600503,0,0,R-group
24,33,-1.31371,0.414804,-0.764985,-0.813475,-0.718644,0.548725,0.185884,0,0,R-group
24,42,-4.850742,1.002304,-1.176715,-1.266187,-1.096421,3.674027,0.000246777,0,0.535562,R-group large
27,36,-2.682719,0.434296,-2.809818,-2.861939,-2.761836,0.127099,0.769786,0,0,R-group
29,33,0.389768,0.405257,-1.849428,-1.889412,-1.811765,2.239196,0.0000000328786,0,0,R-group
30,33,3.377584,0.430085,0.582613,0.452711,0.726923,2.794971,8.10445E-11,0,0,R-group
30,37,-0.975654,0.47102,0.170883,0,0.349145,1.146537,0.0149265,0,0,R-group
31,25,5.090898,0.659882,2.136803,2.000174,2.311741,2.954095,0.00000758052,0,0.195257,R-group
31,37,0.974359,0.429554,0.411729,0.199865,0.652576,0.56263,0.190264,0,0,R-group
32,23,-2.579778,0.465656,0.533377,0.529582,0.537182,3.113155,2.30097E-11,0,0,R-group
33,32,1.208892,0.420473,1.556897,1.51818,1.597927,0.348005,0.407868,0,0,R-group
33,34,-1.120847,0.42842,-0.079318,-0.159349,0,1.041529,0.0150533,0,0,R-group
34,36,-1.242462,0.470411,-0.091566,-0.184232,0,1.150896,0.014422,0,0,R-group
35,18,5.354502,0.440524,0.544277,0.443845,0.652576,4.810225,9.31844E-28,0,0,R-group large
35,27,3.718432,0.570829,3.050664,2.980264,3.130419,0.667768,0.242073,0,0.13308,R-group
35,36,-0.935739,0.417107,0.240846,0.119198,0.367709,1.176585,0.00479005,0,0,R-group
35,37,-2.46364,0.437451,0,-0.149281,0.149281,2.46364,0.000000017833,0,0,R-group
38,29,2.280339,0.423097,2.12861,2.070344,2.192842,0.151729,0.719883,0,0,R-group
39,32,6.633554,0.422599,1.968626,1.895957,2.050638,4.664928,2.48709E-28,0,0,R-group
40,19,1.378305,0.408823,0.452711,0.391592,0.516208,0.925594,0.0235713,0,0,R-group
40,33,1.941439,0.412493,0.079318,0,0.159349,1.862121,0.00000635232,0,0,R-group
41,39,0.591167,0.412561,-0.240846,-0.367709,-0.119198,0.832013,0.0437264,0,0,R-group
41,40,0.877672,0.446861,0.091566,0,0.184232,0.786106,0.0785479,0,0,R-group
42,13,2.781047,0.422974,0.240846,0.119198,0.367709,2.540201,0.00000000190659,0,0,R-group
43,38,0.714586,0.446962,0.544277,0.349145,0.771774,0.170309,0.703175,0,0,R-group
43,42,-0.542889,0.383937,0.411729,0.199865,0.652576,0.954618,0.0129045,0,0,R-group
43,45,0.596157,0.459428,0.744141,0.567574,0.956006,0.147984,0.747373,0,0,R-group
44,32,-0.279051,0.467024,1.968626,1.895957,2.050638,2.247677,0.00000148855,0,0.023841,R-group large
44,36,-0.698595,0.429444,0.240846,0.119198,0.367709,0.939441,0.0287005,0,0,R-group
