lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
CHEMBL3402741-400,CHEMBL3402756-2.7,-2.239537,2.142569,-2.968938,-3.050005,-2.878721,0.729401,0.73353,0,1.680967,charge shift
CHEMBL3402741-400,CHEMBL3402763-90,-0.299551,0.761492,-0.886043,-0.989958,-0.774609,0.586492,0.441188,0,0.331501,R-group
CHEMBL3402741-400,CHEMBL3402764-90,2.675461,1.372739,-0.886043,-0.989958,-0.774609,3.561504,0.00947421,0,0.92078,R-group
CHEMBL3402742-23,CHEMBL3402756-2.7,0.914107,1.10323,-1.272492,-1.29637,-1.248537,2.186599,0.0474795,0,0.633753,charge shift
CHEMBL3402742-23,CHEMBL3402763-90,0.964218,0.993637,0.810403,0.763677,0.855575,0.153815,0.876979,0,0.549375,R-group
CHEMBL3402743-42,CHEMBL3402742-23,0.080858,0.464621,-0.357692,-0.377777,-0.337804,0.43855,0.345227,0,0,R-group
CHEMBL3402743-42,CHEMBL3402756-2.7,-3.657206,0.863763,-1.630184,-1.648317,-1.612171,2.027022,0.0189388,0,0.390241,charge shift
CHEMBL3402743-42,CHEMBL3402758-10,-1.639767,1.143793,-0.85244,-1.271199,-0.60448,0.787327,0.491234,0,0.635532,charge shift
CHEMBL3402743-42,CHEMBL3402760-1,-3.99685,1.314473,-2.220176,-5.917586,-2.213062,1.776674,0.176495,0,0.823264,charge shift
CHEMBL3402743-42,CHEMBL3402762-1,-5.592388,1.747943,-2.220176,-5.917586,-2.213062,3.372212,0.0537003,0,1.276309,charge shift
CHEMBL3402743-42,CHEMBL3402763-90,-0.581108,1.023786,0.452711,0.411729,0.491941,1.033819,0.312591,0,0.588389,R-group
CHEMBL3402743-42,CHEMBL3402764-90,2.442963,0.417026,0.452711,0.411729,0.491941,1.990252,0.00000181963,0,0,R-group
CHEMBL3402744-300,CHEMBL3402745-200,-0.358444,0.406013,-0.240846,-0.503295,0,0.117598,0.772091,0,0,R-group
CHEMBL3402744-300,CHEMBL3402752-30000,1.937577,0.430739,2.735471,2.643906,4.929872,0.797894,0.0639707,0,0,R-group
CHEMBL3402744-300,CHEMBL3402756-2.7,-4.836464,4.07478,-2.798055,-2.900724,-2.678857,2.038409,0.616899,1.310898,2.406687,charge change
CHEMBL3402744-300,CHEMBL3402757-6.5,-4.86952,4.360591,-2.276196,-2.372349,-2.163346,2.593324,0.552032,1.310898,2.646382,charge change
CHEMBL3402745-200,CHEMBL3402742-23,-2.560004,2.199567,-1.284717,-1.43032,-1.101059,1.275287,0.562056,0,1.73272,charge change
CHEMBL3402745-200,CHEMBL3402743-42,-1.592188,1.953472,-0.927025,-1.066686,-0.749112,0.665163,0.733478,0,1.489974,charge change
CHEMBL3402745-200,CHEMBL3402748-5300,0.864934,0.436949,1.946624,1.808446,2.123085,1.08169,0.013303,0,0,R-group
CHEMBL3402745-200,CHEMBL3402752-30000,3.297603,0.423246,2.976317,2.84377,5.233303,0.321286,0.447793,0,0,R-group
CHEMBL3402745-200,CHEMBL3402756-2.7,-4.129062,2.739647,-2.557209,-2.700859,-2.375426,1.571853,0.566142,0,2.260174,charge change
CHEMBL3402747-3400,CHEMBL3402744-300,-1.040535,0.429182,-1.442082,-1.559053,-1.341717,0.401547,0.349473,0,0,R-group
CHEMBL3402747-3400,CHEMBL3402749-500,-0.691734,0.406929,-1.138652,-1.209908,-1.073238,0.446918,0.272086,0,0,R-group
CHEMBL3402747-3400,CHEMBL3402751-2100,-1.890568,1.649798,-0.286212,-0.309197,-0.263435,1.604356,0.330824,1.310898,0,R-group
CHEMBL3402747-3400,CHEMBL3402752-30000,0.315169,0.403783,1.293389,1.284717,3.388291,0.97822,0.0154083,0,0,R-group
CHEMBL3402747-3400,CHEMBL3402755-4200,-2.489326,0.429079,0.125518,0.109732,0.141347,2.614844,0.00000000110066,0,0,R-group
CHEMBL3402748-5300,CHEMBL3402751-2100,1.234239,0.441425,-0.549907,-0.569799,-0.5303,1.784146,0.0000530453,0,0,R-group
CHEMBL3402749-500,CHEMBL3402748-5300,0.027477,1.649063,1.402347,1.340103,1.470509,1.37487,0.404434,1.310898,0,R-group
CHEMBL3402750-400,CHEMBL3402748-5300,-0.404195,0.4091,1.534895,1.459301,1.61979,1.93909,0.00000213833,0,0,R-group
CHEMBL3402750-400,CHEMBL3402749-500,-0.056419,0.409712,0.132547,0,0.268479,0.188966,0.644643,0,0,R-group
CHEMBL3402750-400,CHEMBL3402751-2100,2.552072,0.419345,0.984987,0.90071,1.078282,1.567085,0.000186243,0,0,R-group
CHEMBL3402752-30000,CHEMBL3402751-2100,-1.744276,0.415525,-1.5796,-3.680016,-1.565623,0.164676,0.691878,0,0,R-group
CHEMBL3402752-30000,CHEMBL3402754-40,-4.335008,0.451104,-3.932323,-6.097743,-3.86236,0.402685,0.372037,0,0,R-group
CHEMBL3402753-200,CHEMBL3402747-3400,3.625786,0.412861,1.682929,1.541581,1.862484,1.942857,0.00000252824,0,0,R-group
CHEMBL3402753-200,CHEMBL3402750-400,0.374501,0.464895,0.411729,0.199865,0.652576,0.037228,0.936174,0,0,R-group
CHEMBL3402753-200,CHEMBL3402755-4200,1.418298,1.620823,1.808446,1.668785,1.986359,0.390148,0.80978,1.310898,0,R-group
CHEMBL3402753-200,CHEMBL3402761-1,-3.655262,0.916303,-3.147201,-6.970128,-2.976317,0.508061,0.579258,0,0.457222,R-group large
CHEMBL3402755-4200,CHEMBL3402754-40,-3.687602,1.738087,-2.764452,-2.8508,-2.687375,0.92315,0.595329,1.310898,0,R-group
CHEMBL3402757-6.5,CHEMBL3402756-2.7,-1.395986,0.407829,-0.521859,-0.537514,-0.506373,0.874127,0.0320837,0,0,R-group
CHEMBL3402758-10,CHEMBL3402742-23,3.99942,1.504444,0.494748,0.240846,0.919252,3.504672,0.0198301,0,1.029989,scaffold hopping
CHEMBL3402758-10,CHEMBL3402756-2.7,0.031193,0.442847,-0.777744,-1.029693,-0.355115,0.808937,0.0677488,0,0,R-group
CHEMBL3402758-10,CHEMBL3402760-1,-1.423593,0.437424,-1.367736,-5.298962,-0.956006,0.055857,0.898389,0,0,R-group
CHEMBL3402759-5.7,CHEMBL3402757-6.5,-0.981313,0.456411,0.078014,0.068239,0.087799,1.059327,0.0202872,0,0,R-group
CHEMBL3402759-5.7,CHEMBL3402758-10,-0.945471,0.459042,0.333899,-0.083019,0.579978,1.27937,0.00531915,0,0,R-group
CHEMBL3402759-5.7,CHEMBL3402763-90,-0.472658,1.599865,1.63905,1.59991,1.676399,2.111708,0.186859,0,1.119648,scaffold hopping
CHEMBL3402761-1,CHEMBL3402754-40,0.903131,0.798178,2.191194,2.111877,5.951538,1.288063,0.106581,0,0.36323,R-group large
CHEMBL3402761-1,CHEMBL3402755-4200,5.788569,1.206753,4.955647,4.948533,8.653057,0.832922,0.490057,0,0.757512,R-group large
CHEMBL3402761-1,CHEMBL3402760-1,0.649162,4.105937,0,-3.69038,3.69038,0.649162,0.874375,1.310898,2.364432,charge change
CHEMBL3402761-1,CHEMBL3402762-1,-0.823643,4.001026,0,-3.69038,3.69038,0.823643,0.836902,1.310898,2.289856,charge change
