lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
CHEMBL1077204,CHEMBL1083836,-0.846971,1.885736,0.189162,0.125518,0.253902,1.036133,0.582691,0,1.436139,charge shift
CHEMBL1077204,CHEMBL1084143,-0.777938,0.583915,-0.823459,-1.030353,-0.652576,0.045521,0.937861,0,0.144041,R-group
CHEMBL1077204,CHEMBL1084676,0.585977,0.412488,0.332412,0.274798,0.391592,0.253565,0.538739,0,0,R-group
CHEMBL1077227,CHEMBL1078998,1.445612,1.480298,0.956006,0.887391,1.030353,0.489606,0.740835,0,1.047175,charge change
CHEMBL1077227,CHEMBL1084935,2.480605,0.558359,0.792991,0.720535,0.871004,1.687614,0.00250734,0,0.123824,R-group
CHEMBL1077227,CHEMBL1085666,0.95202,0.403335,0.823459,0.751806,0.90071,0.128561,0.74992,0,0,R-group
CHEMBL1077227,CHEMBL1086410,-0.178758,0.362179,-0.132547,-0.268479,0,0.046211,0.898473,0,0,R-group
CHEMBL1078691,CHEMBL1089056,-3.150747,0.331084,0.749112,0.71516,0.78216,3.899859,5.00469E-32,0,0,R-group
CHEMBL1078691,CHEMBL1093088,-2.502858,0.421613,-1.030353,-1.090709,-0.974007,1.472505,0.00047843,0,0,R-group large
CHEMBL1078774,CHEMBL1088740,-4.197413,0.371883,1.904983,1.88065,1.929745,6.102396,1.63681E-60,0,0,R-group
CHEMBL1078774,CHEMBL1089056,-5.438151,0.342595,1.160841,1.118342,1.202822,6.598992,1.12428E-82,0,0,R-group
CHEMBL1082248,CHEMBL1083517,2.415546,0.375197,0.170883,0,0.349145,2.244663,2.1957E-09,0,0,R-group
CHEMBL1082248,CHEMBL1083836,-0.064214,0.3754,0.771774,0.652576,0.906477,0.835988,0.0259522,0,0,R-group
CHEMBL1082248,CHEMBL1084143,-0.275022,5,-0.240846,-0.503295,0,0.034176,0.994546,13.108979,1.835756,charge shift
CHEMBL1082248,CHEMBL1084678,0.467156,5,0.503295,0.367709,0.652576,0.036139,0.994233,13.108979,1.399255,charge shift
CHEMBL1082248,CHEMBL1086410,-0.949612,0.384186,0.170883,0,0.349145,1.120495,0.00353933,0,0,R-group
CHEMBL1082248,CHEMBL1096002,0.916099,0.389448,0.503295,0.367709,0.652576,0.412804,0.289157,0,0,R-group
CHEMBL1082249,CHEMBL1077227,-2.390037,0.894083,-0.108299,-0.218429,0,2.281738,0.0107093,0,0.450317,R-group large
CHEMBL1082249,CHEMBL1082248,1.609631,0.428495,-0.411729,-0.567574,-0.268479,2.02136,2.38938E-06,0,0,R-group
CHEMBL1082249,CHEMBL1086409,1.029117,0.563114,1.347598,1.29491,1.404382,0.318481,0.571685,0,0.130208,R-group
CHEMBL1082249,CHEMBL1096003,-1.3628,1.131049,-0.652576,-0.871004,-0.468344,0.710224,0.530047,0,0.660897,charge shift
CHEMBL1083517,CHEMBL1085666,-3.699071,0.392169,0.956006,0.871004,1.049991,4.655077,1.69307E-32,0,0,R-group
CHEMBL1083836,CHEMBL1085666,-0.620263,0.401399,0.355115,0.313672,0.397415,0.975378,0.015101,0,0,R-group
CHEMBL1083836,CHEMBL1096002,0.572189,0.412992,-0.268479,-0.338904,-0.199865,0.840668,0.041795,0,0,R-group
CHEMBL1084115,CHEMBL1078998,-2.234756,0.313526,-0.931758,-0.968007,-0.894715,1.302998,3.2394E-05,0,0,R-group
CHEMBL1084115,CHEMBL1088740,0.768231,0.352813,0.744141,0.712779,0.776451,0.02409,0.945563,0,0,R-group
CHEMBL1084115,CHEMBL1089056,-1.435417,0.315909,0,-0.049529,0.049529,1.435417,5.52576E-06,0,0,R-group
CHEMBL1084431,CHEMBL1083517,0.563301,2.334221,-1.656127,-1.739997,-1.581577,2.219428,0.341695,0,1.881298,charge shift
CHEMBL1084431,CHEMBL1085666,-4.876069,5,-0.700121,-0.719712,-0.680867,4.175948,0.403611,13.108979,2.145715,charge shift
CHEMBL1084431,CHEMBL1096002,-1.073739,2.191747,-1.323715,-1.372287,-1.278147,0.249976,0.909195,0,1.736934,charge shift
CHEMBL1084677,CHEMBL1083836,-0.006024,3.699932,0.600891,0.503295,0.706613,0.606915,0.869704,1.310898,1.318813,charge shift
CHEMBL1084677,CHEMBL1084676,3.040113,0.787129,0.744141,0.652576,0.844303,2.295972,0.00353536,0,0.339076,charge shift
CHEMBL1084677,CHEMBL1085692,1.036688,0.935632,0.132547,0,0.268479,0.904141,0.333873,0,0.472515,charge shift
CHEMBL1084677,CHEMBL1096003,-0.417243,0.431204,-0.411729,-0.652576,-0.199865,0.005514,0.989798,0,0,R-group
CHEMBL1084678,CHEMBL1077204,0.947723,1.397954,0.079318,0,0.159349,0.868405,0.53447,0,0.928646,R-group
CHEMBL1084678,CHEMBL1084143,1.498175,2.687412,-0.744141,-0.956006,-0.567574,2.242316,0.404068,1.310898,1.032288,R-group
CHEMBL1084678,CHEMBL1084431,1.291335,5,1.323715,1.278147,1.372287,0.03238,0.994833,13.108979,3.154593,charge change
CHEMBL1084678,CHEMBL1084676,2.289564,1.411038,0.411729,0.349145,0.476594,1.877835,0.183249,0,0.930886,R-group
CHEMBL1084678,CHEMBL1084677,2.673956,0.797739,-0.332412,-0.452711,-0.218429,3.006368,0.000164159,0,0.34789,charge shift
CHEMBL1084678,CHEMBL1084935,-1.998817,5,0.593126,0.536303,0.652576,2.591943,0.604187,13.108979,1.733879,charge shift
CHEMBL1085692,CHEMBL1084676,-2.076173,0.448767,0.611594,0.533377,0.695022,2.687767,2.10842E-09,0,0,R-group
CHEMBL1085692,CHEMBL1096002,-1.997782,1.501782,0.199865,0.09923,0.30343,2.197647,0.143369,0,1.036917,charge shift
CHEMBL1085895,CHEMBL1078998,-1.491252,1.340812,0.487662,0.449258,0.527058,1.978914,0.139969,0,0.886555,R-group large
CHEMBL1085895,CHEMBL1088740,2.295259,0.913595,2.163562,2.130043,2.198224,0.131697,0.88538,0,0.471731,R-group large
CHEMBL1086409,CHEMBL1082248,-0.582232,0.372971,-1.759327,-1.872725,-1.662619,1.177095,0.0015995,0,0,R-group
CHEMBL1086409,CHEMBL1083517,0.700772,0.359188,-1.588444,-1.672861,-1.513338,2.289216,1.84992E-10,0,0,R-group
CHEMBL1086409,CHEMBL1084676,-0.624639,2.03221,-0.844303,-0.871004,-0.818316,0.219664,0.913923,0,1.567905,charge shift
CHEMBL1086409,CHEMBL1084678,-2.824377,5,-1.256033,-1.305151,-1.209908,1.568344,0.753773,13.108979,1.743377,charge shift
CHEMBL1086409,CHEMBL1085666,-2.197516,0.385999,-0.632438,-0.652576,-0.612628,1.565078,5.02167E-05,0,0,R-group
CHEMBL1086409,CHEMBL1086410,-2.203885,0.380753,-1.588444,-1.672861,-1.513338,0.615441,0.106013,0,0,R-group
CHEMBL1086410,CHEMBL1084935,1.194309,0.430865,0.925538,0.839734,1.020285,0.268771,0.532763,0,0,R-group
CHEMBL1086410,CHEMBL1089056,1.207614,1.481524,2.020311,1.925068,2.123877,0.812697,0.583311,0,1.046469,charge change
CHEMBL1086410,CHEMBL1096002,1.480221,0.416885,0.332412,0.218429,0.452711,1.147809,0.00589979,0,0,R-group
CHEMBL1089056,CHEMBL1078998,-1.049898,0.317059,-0.931758,-0.968007,-0.894715,0.11814,0.709437,0,0,R-group
CHEMBL1089056,CHEMBL1088740,2.436761,0.348957,0.744141,0.712779,0.776451,1.69262,1.23144E-06,0,0,R-group
CHEMBL1089393,CHEMBL1085895,-3.494914,0.967725,-2.483725,-2.515469,-2.453182,1.011189,0.296063,0,0.526188,R-group large
CHEMBL1089393,CHEMBL1088740,-0.572209,0.286114,-0.320164,-0.331389,-0.308995,0.252045,0.378358,0,0,R-group
CHEMBL1089393,CHEMBL1093088,-1.184316,0.403582,-2.84377,-2.899566,-2.792085,1.659454,3.92563E-05,0,0,R-group
CHEMBL1093087,CHEMBL1083517,-1.50444,2.97044,-0.925538,-1.020285,-0.839734,0.578902,0.845481,1.310898,1.315095,charge shift
CHEMBL1093087,CHEMBL1084678,-3.584973,3.068127,-0.593126,-0.652576,-0.536303,2.991847,0.329492,1.310898,1.110132,charge shift
CHEMBL1093087,CHEMBL1086409,-1.259142,1.459201,0.662906,0.642334,0.683846,1.922048,0.187774,0,0.988036,charge shift
CHEMBL1093087,CHEMBL1096003,-1.095026,4.000966,-1.337267,-1.52358,-1.188879,0.242241,0.951721,1.310898,1.515779,charge shift
CHEMBL1093088,CHEMBL1088740,1.592884,0.40015,2.523606,2.468947,2.582321,0.930722,0.0200221,0,0,R-group
CHEMBL1096002,CHEMBL1084935,0.440311,0.663349,0.593126,0.536303,0.652576,0.152815,0.817805,0,0.220222,R-group large
CHEMBL1096003,CHEMBL1084143,-0.443406,0.510018,0,-0.30343,0.30343,0.443406,0.384632,0,0.068876,charge shift
