lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
1,15,-2.216724,0.403113,0.279182,0.184232,0.377777,2.495906,5.95643E-10,0,0,R-group
1,155,0.480965,0.393317,0.823459,0.751806,0.90071,0.342494,0.383873,0,0,R-group
1,254,0.741426,0.410593,1.779465,1.311121,2.082895,1.038039,0.0114667,0,0,R-group
1,256,-0.44235,0.40359,0.652576,0.575824,0.734637,1.094926,0.00666841,0,0,R-group
1,7a,1.057834,0.394722,1.330982,1.268014,1.399851,0.273148,0.488937,0,0,R-group
15,25,-0.099707,0.384053,0.764985,0.718644,0.813475,0.864692,0.0243544,0,0,R-group
23,15,-3.648788,0.403132,-3.988938,-4.031757,-3.94841,0.34015,0.398799,0,0,R-group
30,25,-1.325038,0.40814,0.283293,0.256687,0.31018,1.608331,8.12661E-05,0,0,scaffold hopping
30,42,1.302469,0.405149,1.630184,1.603206,1.657431,0.327715,0.418587,0,0,R-group
30,84,1.345134,0.380181,2.99792,2.970942,3.025167,1.652786,1.37783E-05,0,0,scaffold hopping
30,251,0.790119,0.419948,0.322908,0.296974,0.349145,0.467211,0.265904,0,0,scaffold hopping
31,61,-0.639005,0.395918,-1.268505,-1.285103,-1.25187,0.6295,0.11184,0,0,scaffold hopping
31,7a,-0.149449,0.407316,-1.157673,-1.172959,-1.142319,1.008224,0.0133129,0,0,R-group
35,84,4.139018,0.398321,-0.422243,-0.438134,-0.406496,4.561261,2.31862E-30,0,0,scaffold hopping
35,7a,2.042504,0.39916,-2.850056,-2.861597,-2.838537,4.89256,1.53835E-34,0,0,scaffold hopping
41,7b,5.382733,0.410347,2.39861,2.386326,2.410824,2.984123,3.53694E-13,0,0,scaffold hopping
42,164,1.652101,0.419567,2.180491,2.142345,2.217599,0.52839,0.207896,0,0,scaffold hopping
43,25,-2.366918,0.400325,-1.587738,-1.605098,-1.57047,0.77918,0.0516104,0,0,scaffold hopping
43,54,-2.253017,0.398172,-0.611594,-0.638761,-0.585003,1.641423,3.7495E-05,0,0,R-group
43,155,-0.492376,0.399657,-1.808446,-1.830515,-1.786665,1.31607,0.000991246,0,0,scaffold hopping
43,215,-2.156424,0.40214,-1.904983,-1.929745,-1.88065,0.251441,0.531801,0,0,scaffold hopping
43,235,-1.88068,0.398057,-1.427185,-1.442082,-1.412306,0.453495,0.25459,0,0,scaffold hopping
54,124,-1.19166,0.398497,-0.815591,-0.842936,-0.787689,0.376069,0.345314,0,0,R-group
54,251,0.869493,0.396744,-0.936529,-0.965665,-0.906887,1.806022,5.31108E-06,0,0,scaffold hopping
57,231,1.103386,0.4047,0.652576,0.626462,0.679277,0.45081,0.265306,0,0,R-group
61,251,1.771498,0.402898,-0.136367,-0.153593,-0.119198,1.907865,2.18672E-06,0,0,R-group
67,165,-0.102028,0.419147,0.938788,0.912629,0.964553,1.040816,0.0130217,0,0,R-group
67,256,2.271325,0.399471,-0.503295,-0.531858,-0.475271,2.77462,3.76493E-12,0,0,R-group
84,15,-4.656884,0.409413,-3.479612,-3.528462,-3.432898,1.177272,0.00403374,0,0,R-group
155,84,0.835533,0.401567,2.935336,2.909965,2.960888,2.099803,1.70409E-07,0,0,R-group
156,42,0.455387,0.397762,0.798532,0.783775,0.813128,0.343145,0.388308,0,0,scaffold hopping
156,164,0.856782,0.424606,2.979024,2.947336,3.00951,2.122242,5.7885E-07,0,0,R-group
156,165,1.437849,0.412619,0.502131,0.480344,0.523432,0.935718,0.0233443,0,0,R-group
156,167,-1.818637,0.407844,-0.939951,-0.964143,-0.916391,0.878686,0.0312037,0,0,R-group
164,25,-3.90202,0.420824,-3.527383,-3.564118,-3.489596,0.374637,0.373333,0,0,R-group
164,124,-2.866315,0.402426,-3.36683,-3.401102,-3.331433,0.500515,0.213593,0,0,scaffold hopping
164,163,-2.641633,0.408141,-4.222405,-4.282761,-4.162656,1.580772,0.000107458,0,0,R-group
165,42,-1.095992,0.403402,0.296401,0.268479,0.324647,1.392393,0.00055722,0,0,scaffold hopping
165,163,-0.885968,0.391625,-1.745513,-1.796684,-1.695664,0.859545,0.0281768,0,0,R-group
165,252,-1.196248,0.415375,-0.478209,-0.499348,-0.456581,0.718039,0.0838712,0,0,R-group
165,336,-1.67698,0.400126,-0.589642,-0.611594,-0.567214,1.087338,0.00657795,0,0,R-group
167,50,3.02453,0.403343,0.979303,0.956006,1.003236,2.045227,3.96379E-07,0,0,scaffold hopping
167,155,0.65133,0.404112,0.170883,0.136367,0.205688,0.480447,0.234481,0,0,R-group
167,165,2.09355,0.409705,1.442082,1.404873,1.479439,0.651468,0.111815,0,0,R-group
206,23,-0.377119,0.41192,3.0634,3.051118,3.075751,3.440519,6.68921E-17,0,0,R-group
206,42,-2.338484,0.407833,1.186339,1.167871,1.20472,3.524823,5.48474E-18,0,0,scaffold hopping
206,57,-2.016873,0.404899,-0.552144,-0.580047,-0.5248,1.464729,0.000297444,0,0,R-group
206,256,-1.51355,0.409335,-0.552144,-0.580047,-0.5248,0.961406,0.018839,0,0,R-group
215,15,-1.182445,0.395376,-0.44774,-0.503295,-0.393997,0.734705,0.0631346,0,0,R-group
215,163,0.611807,0.398541,-0.377777,-0.428948,-0.327929,0.989584,0.0130275,0,0,R-group
215,252,0.418326,0.411773,0.889527,0.868387,0.911155,0.471201,0.25249,0,0,R-group
224,231,-2.032367,0.424628,-0.363634,-0.373838,-0.353481,1.668733,8.49915E-05,0,0,R-group
227,15,-0.192523,0.409551,-0.288392,-0.349145,-0.229084,0.095869,0.814921,0,0,R-group
227,167,2.459519,0.397169,0.085002,0.042447,0.127776,2.374517,2.25055E-09,0,0,R-group
227,231,2.190616,0.396277,0.737578,0.708523,0.767438,1.453038,0.000245678,0,0,R-group
234,227,-1.996705,0.40127,-0.411729,-0.446341,-0.377777,1.584976,7.81845E-05,0,0,R-group
234,289,-1.341198,0.401981,-0.567574,-0.990618,-0.315193,0.773624,0.0542883,0,0,R-group
235,1,0.649408,0.402417,-1.20472,-1.275069,-1.140238,1.854128,4.07579E-06,0,0,R-group
