lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
19,37,-3.438124,1.005135,-2.452536,-2.458991,-2.446149,0.985588,0.326813,0,0.555691,R-group
19,70,-3.376632,0.420326,-2.760194,-2.770999,-2.749579,0.616438,0.142493,0,0,R-group
20,39,0.652329,0.414747,1.322324,1.321749,1.322899,0.669995,0.106218,0,0,R-group
20,42,-0.930347,0.4054,0.049778,0.048781,0.050775,0.980125,0.0156201,0,0,R-group
24,34,-2.934478,0.44349,-1.105287,-1.112321,-1.098313,1.829191,0.0000371481,0,0,R-group
24,69,-4.088852,0.424956,-1.849428,-1.871973,-1.82764,2.239424,0.000000136589,0,0,R-group
24,70,-3.063933,0.428111,-1.437699,-1.449344,-1.426242,1.626234,0.000145499,0,0,R-group
26,69,-4.355431,0.424945,-1.549132,-1.572296,-1.526723,2.806299,4.00451E-11,0,0,R-group
26,70,-3.305503,0.430991,-1.137403,-1.149667,-1.125324,2.1681,0.000000489203,0,0,R-group
29,23,0.027581,0.424817,1.735982,1.73231,1.739675,1.708401,0.0000578289,0,0,R-group
29,54,-0.655406,0.418029,1.470182,1.466404,1.473981,2.125588,0.00000036804,0,0,R-group
29,63,-2.547711,0.402656,1.087154,1.08311,1.091219,3.634865,1.76085E-19,0,0,R-group
29,70,-2.056386,0.404598,-0.659605,-0.673792,-0.645587,1.396781,0.000555896,0,0,R-group
30,56,-3.698743,1.052977,-1.371026,-1.389399,-1.353108,2.327717,0.0270632,0,0.600842,R-group
30,70,-5.835559,0.879947,-1.108578,-1.120919,-1.096421,4.726981,0.0000000779143,0,0.435744,R-group
31,19,3.260046,0.420196,1.736114,1.734123,1.73811,1.523932,0.000287047,0,0,R-group
33,23,-0.060899,0.423072,0.694229,0.693437,0.695022,0.755128,0.0742825,0,0,R-group
33,36,3.346347,0.426043,1.169369,1.16868,1.170059,2.176978,0.000000322567,0,0,R-group
33,70,-0.643535,0.415694,-1.701358,-1.712666,-1.69024,1.057823,0.0109367,0,0,R-group
35,69,-0.461413,0.408892,-0.577285,-0.606861,-0.548359,0.115872,0.776885,0,0,R-group
38,26,2.49506,0.432025,-0.411729,-0.414076,-0.409386,2.906789,1.71669E-11,0,0,R-group
38,39,3.17365,0.420142,1.565251,1.564414,1.566089,1.608399,0.000129069,0,0,R-group
38,41,0.442092,0.422775,1.374574,1.373716,1.375433,0.932482,0.0274105,0,0,R-group
39,37,-2.487206,0.954578,-2.806725,-2.813134,-2.800383,0.319519,0.737834,0,0.503817,R-group
41,44,-0.774877,0.412562,-2.567531,-2.573461,-2.561659,1.792654,0.0000139164,0,0,R-group
43,44,1.623341,0.390027,-1.955999,-1.962068,-1.949988,3.57934,4.42611E-20,0,0,R-group
