lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
CHEMBL3264995,CHEMBL3264994,3.700712,1.023826,2.583152,2.57504,2.59125,1.11756,0.27503,0,0.565271,R-group large
CHEMBL3264995,CHEMBL3265001,0.513454,0.630431,0.344412,0.320749,0.367436,0.169042,0.788594,0,0.193026,charge shift
CHEMBL3264997,CHEMBL3264994,1.205027,5,1.181072,1.173157,1.18897,0.023955,0.996177,13.108979,1.426561,charge shift
CHEMBL3264997,CHEMBL3264995,-1.237225,1.099186,-1.40208,-1.408954,-1.395209,0.164855,0.880781,0,0.6406,charge shift
CHEMBL3264998,CHEMBL3264995,0.400812,0.466924,-0.67114,-0.686001,-0.65608,1.071952,0.0216888,0,0,charge shift
CHEMBL3264998,CHEMBL3265001,0.111333,0.727239,-0.326728,-0.35818,-0.295716,0.438061,0.546934,0,0.283247,charge shift
CHEMBL3264999,CHEMBL3264996,0.165073,0.419305,0.750032,0.741208,0.75893,0.584959,0.162995,0,0,R-group
CHEMBL3265000,CHEMBL3264994,8.26792,5,2.011242,1.993307,2.02945,6.256678,0.210812,13.108979,2.738452,charge shift
CHEMBL3265000,CHEMBL3264995,1.606951,1.739643,-0.57191,-0.588805,-0.554729,2.178861,0.210397,0,1.263514,charge shift
CHEMBL3265000,CHEMBL3264997,1.535807,3.678955,0.830171,0.813475,0.847154,0.705636,0.847896,1.310898,1.960485,charge shift
CHEMBL3265002,CHEMBL3264996,2.772783,0.423325,-0.048747,-0.052501,-0.044993,2.82153,2.64374E-11,0,0,R-group
CHEMBL3265002,CHEMBL3264999,-2.286261,1.71308,-0.798779,-0.807523,-0.790109,1.487482,0.385225,1.310898,0,R-group
CHEMBL3265002,CHEMBL3265001,-0.570573,1.638669,-1.42435,-1.446285,-1.40307,0.853777,0.602354,0,1.192985,charge change
CHEMBL3265003,CHEMBL3264999,-1.196211,0.491146,-0.594578,-0.604059,-0.585167,0.601633,0.220592,0,0,R-group
CHEMBL3265004,CHEMBL3264999,1.721039,0.421239,-0.557932,-0.591284,-0.523432,2.278971,0.0000000629676,0,0,R-group
CHEMBL3265004,CHEMBL3265001,0.667785,1.750348,-1.183504,-1.230045,-1.136393,1.851289,0.290206,0,1.288727,charge change
CHEMBL3265004,CHEMBL3265002,-0.978252,1.681244,0.240846,0.212639,0.270276,1.219098,0.46838,1.310898,0,R-group
CHEMBL3265004,CHEMBL3265003,0.895673,0.418631,0.036646,0.007698,0.066812,0.859027,0.0401705,0,0,R-group
CHEMBL3265006,CHEMBL3265011,2.282701,0.429181,1.323533,1.322304,1.324762,0.959168,0.0254253,0,0,R-group
CHEMBL3265006,CHEMBL3265026,-2.502699,0.419405,-1.406861,-1.413805,-1.399983,1.095838,0.00897933,0,0,scaffold hopping
CHEMBL3265008,CHEMBL3259820,0.61892,0.439606,-0.793344,-0.795465,-0.791227,1.412264,0.00131554,0,0,R-group
CHEMBL3265008,CHEMBL3265005,-0.127016,0.423518,-0.540318,-0.541856,-0.538782,0.413302,0.329125,0,0,R-group
CHEMBL3265008,CHEMBL3265006,-0.412714,0.427101,-0.174128,-0.175161,-0.173095,0.238586,0.576423,0,0,R-group
CHEMBL3265009,CHEMBL3265003,-1.308472,1.29345,-0.524664,-0.528257,-0.521081,0.783808,0.544526,0,0.84043,R-group large
CHEMBL3265009,CHEMBL3265005,0.724945,0.421553,-0.025737,-0.027882,-0.023592,0.750682,0.0749528,0,0,R-group
CHEMBL3265009,CHEMBL3265006,2.097851,0.420296,0.340453,0.338813,0.342095,1.757398,0.0000289804,0,0,R-group
CHEMBL3265009,CHEMBL3265008,0.642083,0.415905,0.514581,0.513091,0.516073,0.127502,0.759175,0,0,R-group
CHEMBL3265009,CHEMBL3265020,0.385062,0.421198,-0.707513,-0.712025,-0.703019,1.092575,0.00948746,0,0,R-group
CHEMBL3265010,CHEMBL3264996,-2.818853,1.654309,-0.534823,-0.537574,-0.532078,2.28403,0.167385,0,1.187636,R-group large
CHEMBL3265010,CHEMBL3265011,1.550929,0.429275,1.498374,1.496943,1.499806,0.052555,0.90256,0,0,R-group
CHEMBL3265012,CHEMBL3259820,-1.40893,0.40657,-0.029461,-0.032736,-0.026186,1.379469,0.000691457,0,0,scaffold hopping
CHEMBL3265012,CHEMBL3265002,-1.924909,1.91844,-0.071162,-0.074559,-0.067766,1.853747,0.333905,0,1.452695,R-group large
CHEMBL3265012,CHEMBL3265010,2.228885,0.438533,0.414914,0.412525,0.417307,1.813971,0.0000352718,0,0,R-group
CHEMBL3265013,CHEMBL3259820,-1.03741,0.409929,-0.764407,-0.76655,-0.762267,0.273003,0.505426,0,0,scaffold hopping
