lig1,lig2,DDGb,DDGberr,DDGbexpt,DDGbexptlow,DDGbexpthigh,deltaDDGb,pvalue,pltygap,pltyint,type
7,3b,0.561061,0.382445,-3.130467,-3.179757,-3.078254,3.691528,4.79991E-22,0,0,R-group
7,5d,0.534899,0.367118,-2.494625,-2.538442,-2.447783,3.029524,1.55531E-16,0,0,R-group
7,5j,-0.991593,0.378493,-2.694489,-2.739444,-2.646522,1.702896,0.00000682261,0,0,R-group
7,8a,2.961999,1.524187,-2.415307,-2.481569,-2.347039,5.377306,0.000418739,0,1.061735,R-group large
1a,5d,-2.837603,0.415794,-2.340475,-2.348785,-2.332128,0.497128,0.231848,0,0,R-group
1b,1a,1.043479,0.369716,1.390153,1.378943,1.401367,0.346674,0.34841,0,0,R-group
1b,5c,-1.234938,0.415105,-0.023297,-0.091566,0.039056,1.211641,0.00351294,0,0,R-group
1b,5d,-0.772691,0.396111,-0.950322,-0.958841,-0.941761,0.177631,0.653838,0,0,R-group
1b,5h,-2.1622,0.414727,-0.112886,-0.125518,-0.10028,2.049314,0.000000775808,0,0,R-group
1b,5n,-3.009017,0.419717,-0.779439,-0.806725,-0.752855,2.229578,0.00000010837,0,0,R-group
3a,7,1.283805,0.382789,2.606328,2.558904,2.650733,1.322523,0.000550363,0,0,R-group
3a,3b,-0.122684,0.366048,-0.524139,-0.535851,-0.512522,0.401455,0.27276,0,0,R-group
3a,5m,0.575505,0.408365,-1.696743,-1.762731,-1.636705,2.272248,0.000000026327,0,0,R-group
5a,5c,0.382821,0.396794,0.800162,0.71516,0.880073,0.417341,0.2929,0,0,R-group
5a,5d,0.315713,0.401466,-0.126863,-0.152116,-0.100744,0.442576,0.270288,0,0,R-group
5a,5j,-0.490692,0.39992,-0.326728,-0.353119,-0.299484,0.163964,0.681811,0,0,R-group
5a,5k,0.055156,0.400954,-0.205373,-0.231028,-0.178856,0.260529,0.515839,0,0,R-group
5a,5n,1.326833,0.425946,0.04402,0,0.088161,1.282813,0.00259807,0,0,R-group
5b,5c,0.207364,0.398701,0.515295,0.438734,0.586224,0.307931,0.439915,0,0,R-group
5b,5j,-0.453586,0.381352,-0.611594,-0.629544,-0.593333,0.158008,0.678628,0,0,R-group
5b,5n,0.88661,0.429549,-0.240846,-0.276426,-0.205688,1.127456,0.00867141,0,0,R-group
5b,5o,-0.113461,0.431971,-1.5676,-1.601715,-1.533809,1.454139,0.00076187,0,0,R-group
5d,5m,-0.039442,0.413052,-1.808446,-1.873852,-1.748997,1.769004,0.0000184586,0,0,R-group
5e,5a,-1.354452,0.408147,-0.652576,-0.68344,-0.622493,0.701876,0.0854933,0,0,R-group
5e,5h,-1.335343,0.422704,0.057997,0.043483,0.072529,1.39334,0.00097983,0,0,R-group
5e,5i,-3.498486,0.425818,-1.976291,-2.00546,-1.947782,1.522195,0.000350556,0,0,R-group
5e,5k,-1.819369,0.394776,-0.857949,-0.868753,-0.847065,0.96142,0.0148771,0,0,R-group
5e,5n,-0.39845,0.42431,-0.608556,-0.637725,-0.580047,0.210106,0.62048,0,0,R-group
5e,5p,-1.342816,0.428152,-0.396691,-0.575141,-0.256479,0.946125,0.0271198,0,0,R-group
5f,5a,-0.372644,0.395951,-0.496731,-0.611594,-0.366015,0.124087,0.753984,0,0,R-group
5f,5i,-1.135288,0.411277,-1.820447,-1.933615,-1.691303,0.685159,0.0957273,0,0,R-group
